0.10:0.940686	0.943090	0.954873	0.943581	0.965803	0.948104	0.957974	0.948728	0.948258	0.938828	
0.15:0.919301	0.935961	0.933032	0.917108	0.919618	0.915837	0.923700	0.928494	0.925680	0.908603	
0.20:0.901234	0.913669	0.913505	0.898085	0.896423	0.901287	0.910748	0.906191	0.910057	0.895061	
0.25:0.820552	0.843121	0.842456	0.851982	0.844421	0.850359	0.858480	0.846014	0.836610	0.824665	
0.30:0.783827	0.776756	0.778085	0.784045	0.780147	0.768739	0.761013	0.771297	0.778993	0.781624	
0.35:0.746258	0.751200	0.752171	0.745828	0.750976	0.728124	0.741423	0.740874	0.755985	0.740951	
0.40:0.724562	0.719887	0.729899	0.710374	0.731880	0.707870	0.730861	0.725850	0.706781	0.724899	
0.45:0.678045	0.675597	0.679595	0.674417	0.674060	0.664750	0.667670	0.666261	0.670660	0.667979	
0.50:0.581780	0.571864	0.559254	0.566247	0.559351	0.558318	0.580454	0.568599	0.567390	0.571675	
0.55:0.515862	0.526528	0.529371	0.538559	0.508137	0.540296	0.509375	0.499359	0.515831	0.537798	
