0.10:0.940813	0.951823	0.956455	0.954449	0.949290	0.940681	0.949293	0.957898	0.952338	0.969347	
0.15:0.917406	0.930288	0.923811	0.930694	0.931703	0.914809	0.921117	0.912638	0.917421	0.914420	
0.20:0.907698	0.914148	0.889343	0.908353	0.899139	0.903839	0.897180	0.903299	0.883914	0.885147	
0.25:0.825194	0.840579	0.833658	0.856822	0.834089	0.852018	0.849883	0.849551	0.833226	0.853862	
0.30:0.769736	0.762811	0.764082	0.764147	0.779534	0.775221	0.773486	0.780884	0.767977	0.774402	
0.35:0.703620	0.705746	0.710452	0.701120	0.709410	0.693557	0.697853	0.686307	0.693685	0.702810	
0.40:0.657763	0.647354	0.656745	0.652731	0.654388	0.632087	0.643265	0.632613	0.651928	0.658398	
0.45:0.583003	0.579900	0.576191	0.590823	0.593662	0.592403	0.590466	0.595786	0.587700	0.602266	
0.50:0.558937	0.549467	0.554862	0.552921	0.568194	0.555960	0.550411	0.565519	0.556509	0.564088	
0.55:0.557059	0.539260	0.545914	0.552689	0.531669	0.527734	0.523302	0.532886	0.532751	0.552011	
