0.10:0.937206	0.933198	0.967946	0.951218	0.959815	0.957151	0.954247	0.950653	0.957289	0.953922	
0.15:0.922099	0.928246	0.933384	0.928215	0.914938	0.919824	0.914451	0.906762	0.921785	0.927552	
0.20:0.885008	0.895854	0.886776	0.905116	0.894369	0.912902	0.893593	0.889844	0.893130	0.911829	
0.25:0.860775	0.870747	0.862375	0.885603	0.871346	0.871472	0.868736	0.865872	0.883275	0.866833	
0.30:0.791206	0.776850	0.775597	0.787367	0.770634	0.781062	0.785790	0.776402	0.774302	0.784241	
0.35:0.719618	0.713748	0.733294	0.717913	0.725246	0.722775	0.734702	0.718289	0.727002	0.710764	
0.40:0.599208	0.603350	0.605810	0.614580	0.610174	0.601464	0.608924	0.596268	0.605541	0.607076	
0.45:0.508150	0.524178	0.505207	0.531827	0.532725	0.519940	0.522944	0.523578	0.531701	0.507833	
0.50:0.441184	0.443667	0.450991	0.433902	0.450511	0.431346	0.448037	0.449030	0.437184	0.438550	
0.55:0.342223	0.335069	0.343858	0.342473	0.326061	0.338511	0.347782	0.346210	0.346591	0.333271	
