0.10:0.943898	0.957701	0.962168	0.943805	0.951323	0.964685	0.938176	0.946668	0.965718	0.938554	
0.15:0.915851	0.920550	0.930158	0.904673	0.934880	0.929790	0.920031	0.924379	0.929251	0.905392	
0.20:0.903963	0.894223	0.919288	0.901010	0.911675	0.911440	0.894645	0.887602	0.905095	0.905174	
0.25:0.829149	0.838894	0.848215	0.826880	0.853141	0.833121	0.830715	0.851835	0.831580	0.854232	
0.30:0.768005	0.778643	0.793301	0.765192	0.764210	0.771617	0.787717	0.766893	0.776626	0.770149	
0.35:0.712073	0.708194	0.709065	0.694132	0.694487	0.688552	0.700014	0.704860	0.697126	0.717992	
0.40:0.640792	0.652180	0.655560	0.652369	0.639191	0.648692	0.652582	0.662219	0.653815	0.644182	
0.45:0.595007	0.583412	0.609814	0.596704	0.579551	0.603221	0.607319	0.586433	0.609327	0.570794	
0.50:0.393507	0.392223	0.384146	0.391434	0.400695	0.405364	0.392880	0.377575	0.387088	0.394325	
0.55:0.300624	0.327113	0.318196	0.317050	0.315301	0.308923	0.296444	0.319102	0.322308	0.318009	
