0.05:0.565236	0.743500	0.836776	0.749446	0.735728	0.796129	0.858102	0.750686	0.628015	0.760119	0.696576	0.773371	0.746672	0.850895	0.675698	0.780718	0.764828	0.838769	0.852717	0.745516	0.870045	0.759747	0.689865	0.724727	0.738296	0.670320	0.679471	0.836874	0.819099	0.590049	0.746411	0.797420	0.594638	0.778232	0.610160	0.758162	0.655990	0.785278	0.745772	0.703575	0.730626	0.783378	0.693901	0.785674	0.692968	0.729226	0.628415	0.735490	0.711487	0.909700	0.780785	0.741946	0.758181	0.599858	0.795633	0.868554	0.789923	0.736174	0.611530	0.759409	0.782175	0.784957	0.740464	0.554601	0.701197	0.810793	0.767990	0.644820	0.603380	0.799574	0.723691	0.715231	0.755540	0.787633	0.784286	0.621884	0.779572	0.721303	0.850765	0.831070	0.676701	0.932639	0.762347	0.717136	0.814100	0.692831	0.867663	0.829124	0.609369	0.651403	0.865394	0.708478	0.757871	0.763624	0.864170	0.670656	0.762067	0.813973	0.914022	0.753705	
0.10:0.688029	0.783673	0.806593	0.633757	0.769824	0.757405	0.757763	0.594976	0.800503	0.670762	0.890975	0.762489	0.689463	0.688382	0.825908	0.780167	0.745797	0.840481	0.561185	0.791611	0.739568	0.855239	0.803401	0.748682	0.709424	0.709404	0.768792	0.709821	0.687889	0.786320	0.633564	0.792797	0.674058	0.699187	0.739230	0.857045	0.646804	0.528297	0.702493	0.648439	0.793957	0.544532	0.685394	0.579654	0.777123	0.709664	0.643980	0.826420	0.685800	0.840492	0.875303	0.753315	0.742905	0.768765	0.690112	0.752429	0.741194	0.730219	0.859622	0.739283	0.742531	0.785015	0.770700	0.740235	0.675552	0.872619	0.574619	0.817056	0.766209	0.876005	0.634068	0.863045	0.857488	0.691659	0.710944	0.683636	0.759294	0.615537	0.727518	0.708356	0.717579	0.615852	0.773378	0.667270	0.725636	0.692377	0.830481	0.783379	0.711741	0.779092	0.696721	0.552798	0.796822	0.776851	0.655607	0.722662	0.721978	0.850621	0.670213	0.614879	
0.15:0.719632	0.633975	0.713452	0.636383	0.710960	0.592881	0.646944	0.759559	0.621977	0.525780	0.722210	0.634299	0.594412	0.840544	0.713369	0.719133	0.719681	0.827407	0.589216	0.632154	0.611756	0.750301	0.758544	0.690520	0.692730	0.675514	0.799311	0.739075	0.770294	0.779875	0.645388	0.726491	0.806676	0.720781	0.582162	0.674665	0.694939	0.722054	0.735930	0.707119	0.683262	0.556833	0.618104	0.843696	0.580655	0.638499	0.764709	0.844429	0.656947	0.631654	0.636812	0.709654	0.584394	0.710321	0.779179	0.676058	0.521658	0.633115	0.567768	0.559233	0.713072	0.656492	0.585054	0.797751	0.804329	0.632093	0.681048	0.579149	0.671681	0.874702	0.677448	0.779647	0.806897	0.707070	0.617731	0.664054	0.688784	0.641233	0.690273	0.859860	0.575764	0.652706	0.671307	0.823474	0.706584	0.774984	0.821915	0.738521	0.839312	0.790441	0.673131	0.651678	0.672724	0.660584	0.651515	0.657173	0.790841	0.605828	0.613073	0.703308	
0.20:0.696619	0.713063	0.766066	0.579296	0.643183	0.815509	0.545439	0.652272	0.806530	0.710186	0.605683	0.641777	0.619930	0.562179	0.679825	0.607641	0.765290	0.798852	0.732373	0.579552	0.613759	0.725078	0.562065	0.699760	0.803552	0.579625	0.753651	0.755333	0.611100	0.600267	0.674542	0.646752	0.603285	0.698753	0.785376	0.541832	0.673641	0.616311	0.612765	0.673740	0.609931	0.773821	0.578897	0.686852	0.679303	0.727044	0.598017	0.788558	0.785414	0.805172	0.578147	0.758008	0.765309	0.616259	0.532298	0.668511	0.678266	0.668496	0.729028	0.744833	0.645778	0.823685	0.737031	0.552105	0.623295	0.574742	0.650016	0.536289	0.532955	0.781220	0.543250	0.566765	0.697901	0.766975	0.604469	0.812080	0.699034	0.677442	0.512080	0.638955	0.578815	0.727962	0.499630	0.576924	0.760522	0.518328	0.534394	0.655466	0.712570	0.501381	0.511703	0.774786	0.697425	0.649866	0.509985	0.666268	0.779505	0.837876	0.520299	0.483760	
0.25:0.744226	0.543546	0.575006	0.789723	0.707896	0.718463	0.477798	0.579841	0.657240	0.742197	0.721529	0.687692	0.652376	0.540920	0.553449	0.587722	0.511244	0.579881	0.652522	0.726386	0.591302	0.509492	0.548438	0.727321	0.638381	0.550171	0.742955	0.626393	0.621428	0.635046	0.604013	0.544585	0.576352	0.497593	0.740861	0.513299	0.659744	0.556490	0.685599	0.564277	0.465081	0.552312	0.514721	0.696228	0.589109	0.642759	0.604217	0.665911	0.602236	0.551488	0.501450	0.611281	0.639143	0.490987	0.649533	0.575108	0.548464	0.519214	0.647619	0.551504	0.660274	0.603714	0.635379	0.598524	0.595147	0.530975	0.473727	0.573820	0.592792	0.586186	0.747692	0.572363	0.659073	0.558231	0.681481	0.651251	0.548981	0.696317	0.577740	0.575193	0.601998	0.618049	0.612111	0.476255	0.585051	0.515982	0.601823	0.585944	0.722773	0.713338	0.577619	0.447311	0.545759	0.550513	0.476493	0.621419	0.656165	0.612812	0.702538	0.531424	
0.30:0.396016	0.539807	0.474616	0.424687	0.664264	0.495650	0.484414	0.388707	0.424023	0.459757	0.484564	0.437869	0.597972	0.514857	0.387032	0.526747	0.502708	0.487421	0.618616	0.466480	0.607404	0.423634	0.531672	0.554064	0.523237	0.489389	0.610490	0.494088	0.626767	0.445484	0.513700	0.628650	0.552107	0.704619	0.482487	0.519802	0.438744	0.578817	0.535167	0.632788	0.448435	0.523851	0.508949	0.348666	0.635818	0.434257	0.582338	0.395763	0.628398	0.600371	0.562468	0.519888	0.457037	0.596359	0.602944	0.423386	0.468374	0.608231	0.489786	0.586185	0.514678	0.468742	0.626446	0.511448	0.683019	0.635726	0.432649	0.612708	0.339687	0.468951	0.576563	0.359286	0.614482	0.581452	0.639064	0.403594	0.327857	0.529466	0.480422	0.532296	0.510885	0.467845	0.616318	0.423441	0.410920	0.633568	0.577459	0.549145	0.385290	0.655298	0.477025	0.453044	0.581793	0.398874	0.489075	0.346060	0.626655	0.651997	0.662723	0.533828	
0.35:0.538718	0.489710	0.373964	0.455069	0.437798	0.370007	0.577477	0.516019	0.238836	0.533035	0.346417	0.482765	0.548721	0.488906	0.415350	0.410684	0.398572	0.370470	0.418995	0.381579	0.491229	0.344874	0.491885	0.507489	0.394398	0.362289	0.357617	0.464741	0.421527	0.430660	0.433290	0.464831	0.517295	0.501269	0.368967	0.572023	0.371768	0.427836	0.414425	0.425444	0.345614	0.341188	0.523682	0.496501	0.517867	0.512600	0.515481	0.467280	0.322378	0.488250	0.370767	0.603512	0.530543	0.372556	0.261242	0.553983	0.429649	0.554427	0.369760	0.362250	0.600010	0.505566	0.552781	0.373846	0.378389	0.426245	0.287493	0.416869	0.353689	0.599847	0.485575	0.426060	0.491378	0.442679	0.295260	0.405965	0.500121	0.428057	0.529103	0.484505	0.435320	0.430928	0.243031	0.366615	0.436809	0.370299	0.311963	0.302441	0.482880	0.528128	0.341097	0.460704	0.507607	0.412772	0.359380	0.371476	0.522320	0.327604	0.517529	0.327463	
0.40:0.489840	0.399293	0.377412	0.298634	0.298868	0.386582	0.449523	0.371373	0.331224	0.308850	0.237717	0.387446	0.423759	0.318847	0.382583	0.439872	0.267190	0.345502	0.253946	0.477164	0.347018	0.384135	0.340042	0.336701	0.422008	0.316441	0.437050	0.267385	0.323773	0.432703	0.208416	0.236001	0.313692	0.431360	0.322993	0.431742	0.414975	0.340661	0.173572	0.209389	0.519105	0.296143	0.275583	0.315028	0.392478	0.231864	0.267691	0.347197	0.391896	0.226769	0.339078	0.348344	0.332408	0.407199	0.254984	0.211082	0.447987	0.288005	0.258664	0.279445	0.336523	0.434314	0.381021	0.344806	0.383314	0.245165	0.248513	0.301686	0.337461	0.281628	0.293483	0.425835	0.345820	0.361172	0.265381	0.334622	0.405172	0.275142	0.428093	0.331623	0.350803	0.412684	0.267071	0.304837	0.387827	0.402201	0.375878	0.400166	0.341242	0.411172	0.466589	0.456830	0.322232	0.338109	0.451661	0.423150	0.219741	0.335792	0.227289	0.341464	
0.45:0.289897	0.425642	0.331892	0.315425	0.280061	0.430841	0.224117	0.172969	0.183696	0.265871	0.375196	0.170864	0.325316	0.135510	0.416173	0.300399	0.286435	0.362796	0.189933	0.318382	0.258882	0.354957	0.334654	0.147491	0.280826	0.343663	0.325470	0.279613	0.205621	0.366195	0.279781	0.149040	0.317283	0.399187	0.409713	0.279534	0.322503	0.428488	0.332632	0.277940	0.293618	0.242083	0.392439	0.341352	0.161590	0.308139	0.312705	0.395698	0.423403	0.303563	0.290860	0.327056	0.165655	0.159101	0.409918	0.317044	0.476071	0.170142	0.170695	0.354444	0.280801	0.283011	0.269288	0.478947	0.361969	0.293206	0.435586	0.278029	0.307483	0.453892	0.297102	0.224436	0.269276	0.352779	0.325620	0.176131	0.236478	0.199018	0.302282	0.324207	0.451862	0.337026	0.278690	0.264901	0.359344	0.218663	0.335730	0.119162	0.314046	0.337814	0.193263	0.268374	0.223542	0.210225	0.307466	0.277480	0.351074	0.221358	0.389536	0.410467	
0.50:0.127298	0.213000	0.173543	0.142467	0.093310	0.189519	0.268927	0.164158	0.145432	0.297441	0.112062	0.097432	0.163799	0.229825	0.150175	0.117778	0.322602	0.335042	0.293702	0.196490	0.237883	0.048610	0.216732	0.118556	0.177849	0.208433	0.313953	0.220880	0.250032	0.144821	0.214143	0.387664	0.252821	0.274794	0.343802	0.172794	0.131135	0.217117	0.243984	0.192873	0.305565	0.257176	0.198349	0.150775	0.171319	0.150829	0.202909	0.047395	0.097273	0.091391	0.212367	0.267529	0.174514	0.198726	0.273511	0.168311	0.203256	0.182195	0.263415	0.114335	0.165758	0.142759	0.266587	0.304000	0.322197	0.104761	0.240653	0.160741	0.127035	0.165654	0.175322	0.309226	0.292032	0.214751	0.228306	0.222279	0.184710	0.271849	0.306419	0.247851	0.326997	0.136439	0.289495	0.206829	0.122574	0.202147	0.151169	0.326777	0.188258	0.186001	0.295046	0.115853	0.288924	0.267876	0.266220	0.306057	0.225228	0.280743	0.064916	0.026865	
