0.05:0.825012	0.723002	0.807323	0.794590	0.976854	0.791899	0.830222	0.880262	0.822006	0.863074	0.989384	0.822393	0.785411	0.756022	0.821467	0.866989	0.867262	0.707184	0.755037	0.678712	0.927228	0.724089	0.843059	0.790641	0.815570	0.864774	0.875182	0.729154	0.697922	0.810956	0.687448	0.947465	0.784029	0.843833	0.839247	0.901828	0.999371	0.769875	0.916716	0.865006	0.843907	0.835824	0.758470	0.928631	0.812028	0.915344	0.790513	0.822876	0.815079	0.751435	0.815976	0.798443	0.764911	0.891434	0.820289	0.932156	0.914507	0.948194	0.794347	0.966483	0.822622	0.886857	0.863481	0.746067	0.864693	0.780556	0.942954	0.877142	0.865136	0.819261	0.797694	0.836323	0.771620	0.841168	0.818737	0.893934	0.785456	0.806983	0.824967	0.774654	0.783923	0.816380	0.814455	0.935039	0.772508	0.789707	0.775207	0.877419	0.846948	0.883566	0.896088	0.820174	0.785735	0.898434	0.752354	0.762277	0.877178	0.800583	0.953283	0.905180	
0.10:0.687264	0.847882	0.813704	0.797593	0.757054	0.900316	0.862325	0.797369	0.792890	0.909151	0.812198	0.911619	0.789069	0.932383	0.829099	0.770292	0.787488	0.794331	0.820147	0.938284	0.817890	0.831045	0.741294	0.782926	0.873931	0.708292	0.761539	0.764709	0.818964	0.891093	0.701534	0.857478	0.685927	0.877481	0.970551	0.902178	0.866019	0.741307	0.799670	0.662415	0.788056	0.812543	0.773012	0.931190	0.823490	0.864713	0.624497	0.848191	0.709356	0.834637	0.756733	0.887030	0.766049	0.926863	0.670577	0.763504	0.738530	0.810095	0.896912	0.894625	0.694160	0.950017	0.753328	0.818155	0.777196	0.786785	0.602070	0.815378	0.876436	0.743942	0.756913	0.739011	0.823114	0.714143	0.793664	0.783094	0.765648	0.754171	0.668160	0.785113	0.638510	0.913945	0.809460	0.905572	0.709225	0.851894	0.970040	0.801834	0.678691	0.747976	0.843806	0.783237	0.983229	0.682203	0.622175	0.785886	0.760230	0.878118	0.786261	0.619952	
0.15:0.807172	0.731399	0.886709	0.743709	0.794744	0.646729	0.774465	0.701145	0.675137	0.652134	0.856336	0.830768	0.795177	0.628225	0.660259	0.785663	0.716297	0.857761	0.738451	0.751975	0.627562	0.851794	0.794912	0.672815	0.658896	0.727546	0.705440	0.754123	0.760704	0.796316	0.784271	0.757449	0.885239	0.869255	0.743675	0.670338	0.927594	0.750242	0.644187	0.597403	0.809345	0.837405	0.831238	0.767469	0.758379	0.613207	0.619535	0.662168	0.765258	0.880919	0.728733	0.732334	0.750296	0.851842	0.808197	0.674670	0.806118	0.698045	0.814042	0.895850	0.750098	0.802219	0.682243	0.582606	0.700070	0.587526	0.695644	0.695414	0.741345	0.774582	0.802723	0.640555	0.806500	0.777226	0.867278	0.812391	0.689874	0.773407	0.718886	0.891492	0.780634	0.753915	0.733539	0.594432	0.928141	0.699941	0.798873	0.784133	0.733775	0.739924	0.732871	0.696617	0.678626	0.708718	0.767815	0.682053	0.883805	0.770354	0.829387	0.765216	
0.20:0.673142	0.612711	0.737143	0.825779	0.723995	0.696208	0.682055	0.791161	0.753407	0.693017	0.797749	0.627509	0.574335	0.778077	0.780552	0.766711	0.826583	0.543945	0.801590	0.803794	0.716699	0.791412	0.860228	0.581022	0.819283	0.765081	0.673159	0.578427	0.639967	0.666913	0.689617	0.697042	0.674324	0.713185	0.732226	0.618180	0.683613	0.663937	0.549675	0.661670	0.855100	0.735035	0.585991	0.844755	0.737278	0.563294	0.768217	0.626650	0.585732	0.671846	0.817952	0.723157	0.574100	0.793428	0.665077	0.796705	0.716224	0.610698	0.809684	0.827720	0.760658	0.796783	0.697780	0.850098	0.681687	0.837501	0.623244	0.701656	0.594469	0.689181	0.676695	0.745214	0.672247	0.761702	0.826374	0.841511	0.668623	0.659869	0.651357	0.893319	0.725711	0.620019	0.690784	0.585199	0.743709	0.821264	0.725725	0.704205	0.881126	0.842835	0.776228	0.778698	0.832604	0.797591	0.700119	0.714959	0.740892	0.705630	0.811688	0.879407	
0.25:0.635254	0.711333	0.722222	0.642431	0.765556	0.667408	0.651487	0.748901	0.644020	0.575839	0.647271	0.516910	0.610331	0.676349	0.554462	0.722589	0.764855	0.612627	0.534747	0.779633	0.673073	0.659210	0.657546	0.529772	0.658613	0.829979	0.518489	0.767636	0.658770	0.617268	0.626744	0.653249	0.713920	0.484395	0.730461	0.769550	0.658416	0.761997	0.711472	0.635774	0.726961	0.690522	0.584783	0.765339	0.685161	0.678499	0.728769	0.536601	0.719688	0.832363	0.571442	0.730667	0.632252	0.640037	0.629898	0.597709	0.701143	0.630846	0.576076	0.774982	0.672974	0.621436	0.622879	0.664675	0.604129	0.723329	0.622653	0.639237	0.722478	0.729567	0.544290	0.598780	0.506095	0.486889	0.673549	0.708011	0.656691	0.787508	0.806217	0.701743	0.752175	0.627720	0.512233	0.496051	0.692288	0.473358	0.546692	0.625281	0.597131	0.604120	0.720053	0.737328	0.659008	0.524292	0.720054	0.738297	0.505867	0.775319	0.712143	0.509220	
0.30:0.689486	0.531157	0.617123	0.765355	0.574476	0.603632	0.562970	0.615430	0.582284	0.415727	0.602308	0.724299	0.701489	0.618549	0.596503	0.643074	0.656757	0.665468	0.740840	0.550339	0.633890	0.595008	0.529969	0.735490	0.720555	0.669120	0.702106	0.546554	0.698968	0.528548	0.587478	0.602700	0.407318	0.684322	0.690649	0.629418	0.711742	0.552857	0.611625	0.575997	0.732288	0.616061	0.504580	0.603093	0.676559	0.608027	0.554974	0.514897	0.652045	0.653719	0.631438	0.530674	0.568618	0.620434	0.748008	0.722029	0.551459	0.589120	0.552614	0.748157	0.527603	0.647776	0.626314	0.681526	0.533681	0.545140	0.652346	0.486720	0.706177	0.603543	0.661876	0.638094	0.460660	0.540612	0.756970	0.671681	0.555818	0.718357	0.717819	0.435060	0.711434	0.466995	0.627962	0.730766	0.591667	0.658886	0.601607	0.579986	0.520771	0.442192	0.668390	0.592108	0.620849	0.646541	0.697117	0.613838	0.740263	0.619038	0.485231	0.605652	
0.35:0.458222	0.611981	0.474706	0.658882	0.614323	0.528950	0.606940	0.447688	0.606235	0.503593	0.705358	0.400958	0.519758	0.454594	0.510740	0.606296	0.603067	0.560783	0.532128	0.542503	0.676287	0.630327	0.647503	0.498102	0.564633	0.545200	0.673111	0.526368	0.505781	0.580375	0.608530	0.593444	0.530450	0.517871	0.453122	0.725260	0.567589	0.488966	0.584108	0.504942	0.540756	0.642433	0.475415	0.515910	0.538353	0.571489	0.533519	0.639587	0.653543	0.590928	0.390005	0.442305	0.498094	0.464867	0.568964	0.521279	0.497991	0.593919	0.552300	0.414698	0.732994	0.627659	0.469309	0.396282	0.547019	0.603469	0.445486	0.454992	0.540033	0.662415	0.543667	0.498879	0.555159	0.492864	0.474773	0.477351	0.431051	0.600598	0.492994	0.628631	0.562889	0.568433	0.547775	0.623966	0.591216	0.691058	0.467076	0.420564	0.604703	0.435168	0.520832	0.407348	0.482304	0.677279	0.519772	0.557314	0.559269	0.469075	0.579666	0.667004	
0.40:0.420374	0.496820	0.430381	0.381809	0.207023	0.409021	0.277447	0.455208	0.328361	0.344588	0.405765	0.437549	0.364129	0.373500	0.376632	0.320087	0.272412	0.265340	0.452658	0.178377	0.425969	0.348820	0.417407	0.376332	0.476573	0.387427	0.293424	0.357053	0.390419	0.220853	0.428703	0.183723	0.165632	0.482188	0.357826	0.475358	0.471300	0.507353	0.487084	0.439168	0.353149	0.236152	0.406668	0.343348	0.431328	0.538181	0.207476	0.391893	0.411410	0.370906	0.381207	0.354470	0.331907	0.300776	0.355959	0.326779	0.460064	0.376978	0.378085	0.281006	0.448225	0.275425	0.276775	0.346692	0.482823	0.408288	0.509516	0.524015	0.370283	0.323637	0.402659	0.372233	0.321210	0.314480	0.441438	0.277606	0.301174	0.322081	0.237243	0.398686	0.319432	0.297919	0.377740	0.348736	0.439172	0.254666	0.280388	0.287211	0.322139	0.426369	0.483165	0.530267	0.300618	0.351281	0.258244	0.294937	0.429153	0.451777	0.360313	0.450413	
0.45:0.230021	0.229181	0.269048	0.138996	0.155083	0.127957	0.150219	0.286423	0.199800	0.274976	0.112606	0.374747	0.262445	0.094519	0.183426	0.242415	0.331015	0.249316	0.290601	0.082459	0.158752	0.333841	0.229354	0.223787	0.321443	0.190355	0.237308	0.095406	0.169490	0.234160	0.209511	0.371656	0.237720	0.134757	0.106059	0.347688	0.151724	0.320993	0.190138	0.216748	0.321051	0.234622	0.251789	0.149209	0.190659	0.376763	0.262338	0.352626	0.227957	0.109180	0.333846	0.370727	0.243630	0.221296	0.223104	0.252808	0.283082	0.162200	0.179160	0.218461	0.088727	0.185258	0.298540	0.310790	0.230103	0.230855	0.205032	0.083968	0.174741	0.346271	0.285099	0.238930	0.160175	0.228125	0.217333	0.253235	0.267798	0.167375	0.216357	0.367445	0.218559	0.192454	0.189494	0.198398	0.194982	0.121750	0.155271	0.260082	0.122494	0.188326	0.169712	0.263008	0.140487	0.256729	0.152929	0.365996	0.230065	0.124843	0.123517	0.103144	
0.50:0.150281	0.213455	0.152478	0.181327	0.263631	0.250568	0.169585	0.244927	0.324222	0.050327	0.155169	0.229191	0.287040	0.203606	0.156727	0.208128	0.096380	0.271155	0.125779	0.232039	0.194447	0.170829	0.161069	0.198656	0.168030	0.142154	0.161311	0.062449	0.297412	0.255610	0.258660	0.300709	0.320702	0.141758	0.244991	0.159621	0.220877	0.129775	0.262582	0.213860	0.360573	0.088733	0.145289	0.204925	0.245139	0.216085	0.197878	0.168076	0.191873	0.244324	0.125940	0.203917	0.270542	0.253086	0.108291	0.126958	0.247965	0.252497	0.042983	0.200189	0.207710	0.064178	0.059168	0.196486	0.240009	0.269564	0.320185	0.276847	0.302427	0.277579	0.284682	0.253242	0.166487	0.072444	0.238698	0.245995	0.162914	0.123405	0.266576	0.201655	0.147352	0.253731	0.225012	0.135475	0.103503	0.253791	0.367171	0.204097	0.276371	0.177849	0.071057	0.294114	0.233576	0.401433	0.220454	0.201313	0.160375	0.335374	0.065317	0.200730	
