0.05:0.752960	0.761906	0.789185	0.711329	0.823667	0.752038	0.811439	0.767709	0.863794	0.821212	0.838292	0.789397	0.828541	0.854630	0.832234	0.717213	0.723140	0.873606	0.808424	0.801708	0.822869	0.741452	0.840981	0.807149	0.786204	0.810315	0.787866	0.879461	0.818131	0.826757	0.747444	0.728728	0.795260	0.722721	0.796904	0.813137	0.847219	0.815560	0.754862	0.853645	0.744033	0.800818	0.800990	0.788271	0.788729	0.785386	0.856753	0.830159	0.806483	0.841956	0.798747	0.775370	0.776608	0.810367	0.818155	0.871108	0.788015	0.881555	0.841065	0.848059	0.872194	0.824566	0.802245	0.844966	0.799897	0.838353	0.743062	0.801541	0.790551	0.780964	0.795891	0.820093	0.775832	0.804645	0.819889	0.812220	0.806392	0.752580	0.728094	0.745633	0.859039	0.858850	0.792965	0.777125	0.840118	0.711455	0.786161	0.773745	0.797591	0.878362	0.756086	0.782765	0.733748	0.815593	0.777845	0.759272	0.781034	0.794970	0.782022	0.808067	
0.10:0.842031	0.773758	0.791543	0.795845	0.848521	0.774834	0.799639	0.864459	0.825336	0.773759	0.734041	0.720321	0.774185	0.864597	0.852074	0.850478	0.811522	0.854004	0.745929	0.769501	0.819711	0.707494	0.863193	0.848038	0.816163	0.797787	0.860882	0.786111	0.704800	0.850866	0.847343	0.857567	0.798296	0.793176	0.767259	0.740202	0.789472	0.852480	0.783210	0.880204	0.756542	0.844289	0.812658	0.734057	0.723570	0.733156	0.819969	0.751740	0.822152	0.768198	0.778421	0.836303	0.779523	0.814534	0.836414	0.793310	0.798265	0.805712	0.810102	0.778758	0.855816	0.718190	0.837641	0.805154	0.813553	0.786956	0.805977	0.785866	0.727760	0.806503	0.820100	0.753101	0.788595	0.802673	0.766087	0.773193	0.818405	0.741096	0.809160	0.761581	0.831834	0.755596	0.788902	0.731382	0.806584	0.837601	0.835401	0.855611	0.830138	0.777020	0.787237	0.784082	0.804692	0.726617	0.751891	0.802865	0.862563	0.765001	0.769322	0.840947	
0.15:0.811922	0.699013	0.811877	0.673834	0.747739	0.733059	0.813004	0.737345	0.732764	0.825934	0.763751	0.763529	0.783087	0.775011	0.746671	0.705536	0.738832	0.775188	0.795740	0.738823	0.745317	0.783256	0.742096	0.730606	0.790719	0.759769	0.804405	0.671301	0.849310	0.767710	0.703594	0.741501	0.802035	0.768104	0.717183	0.837535	0.788252	0.774029	0.714982	0.782759	0.708571	0.727135	0.790993	0.750437	0.817564	0.798953	0.821036	0.781956	0.738372	0.785036	0.729830	0.804457	0.723342	0.796919	0.763007	0.748346	0.746365	0.736052	0.763158	0.755350	0.738825	0.797129	0.833998	0.804750	0.745099	0.698319	0.807619	0.729569	0.738456	0.698280	0.770263	0.786222	0.742789	0.778716	0.758695	0.733401	0.719640	0.703204	0.761839	0.723956	0.812246	0.768749	0.766456	0.735370	0.808540	0.712230	0.715446	0.752936	0.801214	0.691295	0.749959	0.776929	0.824319	0.696794	0.797091	0.798108	0.749128	0.709034	0.769466	0.734404	
0.20:0.706773	0.714825	0.722023	0.777996	0.686570	0.722140	0.695653	0.743535	0.765922	0.698850	0.714024	0.748403	0.686082	0.712993	0.790948	0.716257	0.652463	0.713371	0.674345	0.713309	0.787357	0.760645	0.692351	0.770054	0.686513	0.722258	0.815205	0.761625	0.676988	0.705517	0.759870	0.707507	0.712846	0.736910	0.690346	0.668296	0.737133	0.728829	0.643594	0.753920	0.780708	0.701640	0.674812	0.701594	0.781233	0.749371	0.767902	0.802637	0.736547	0.741503	0.784181	0.708024	0.687402	0.732200	0.663654	0.756928	0.678120	0.751771	0.725881	0.744071	0.730415	0.787275	0.681796	0.722982	0.768253	0.762100	0.724023	0.662234	0.680390	0.745775	0.778172	0.800411	0.685570	0.713968	0.726762	0.724984	0.702657	0.711284	0.722720	0.673638	0.731125	0.758628	0.788335	0.715527	0.766854	0.692930	0.736839	0.758276	0.713050	0.692262	0.674433	0.703888	0.733424	0.692721	0.784389	0.726561	0.738415	0.708984	0.682846	0.781270	
0.25:0.604529	0.640086	0.583733	0.641990	0.644155	0.718937	0.642156	0.661114	0.663193	0.683517	0.641123	0.596012	0.643908	0.589608	0.631793	0.631860	0.686508	0.677219	0.672822	0.678167	0.707842	0.657886	0.703893	0.607399	0.637037	0.596345	0.649567	0.590224	0.651725	0.667055	0.664159	0.693811	0.711772	0.688286	0.645521	0.569492	0.682679	0.728814	0.654712	0.734908	0.669942	0.721335	0.646948	0.592757	0.635170	0.639216	0.643846	0.722045	0.613248	0.672169	0.649558	0.629406	0.704266	0.679720	0.686912	0.647136	0.705690	0.633587	0.604902	0.736319	0.586210	0.678662	0.689418	0.698275	0.675156	0.601176	0.656155	0.698410	0.676816	0.617040	0.668311	0.698633	0.633693	0.625837	0.660634	0.628377	0.686021	0.696770	0.716181	0.647313	0.695063	0.611763	0.649677	0.587362	0.592333	0.734910	0.591126	0.625106	0.688197	0.649553	0.614787	0.643439	0.682512	0.709218	0.680223	0.729382	0.605723	0.708741	0.615914	0.691614	
0.30:0.604234	0.585748	0.597928	0.610540	0.533662	0.610297	0.620040	0.633893	0.545837	0.542893	0.548215	0.627284	0.591953	0.556179	0.596775	0.567578	0.538792	0.613832	0.577378	0.657622	0.536325	0.650246	0.603748	0.513208	0.641430	0.593989	0.634494	0.573967	0.583902	0.506738	0.647527	0.580793	0.563838	0.619892	0.564087	0.511294	0.633369	0.627840	0.585488	0.498897	0.564495	0.585245	0.517918	0.614676	0.599329	0.585152	0.604571	0.589104	0.520111	0.581115	0.646063	0.577910	0.601698	0.613801	0.578461	0.599011	0.530699	0.592160	0.608985	0.574430	0.676785	0.583576	0.641050	0.603310	0.539102	0.608304	0.537464	0.625505	0.669744	0.599989	0.557881	0.534760	0.574811	0.541598	0.531021	0.595237	0.618266	0.556173	0.628253	0.622210	0.603356	0.591794	0.622433	0.580944	0.554064	0.622537	0.590212	0.676713	0.561873	0.569147	0.564815	0.534843	0.583939	0.645251	0.494560	0.673603	0.548757	0.615430	0.584906	0.548212	
0.35:0.475449	0.596602	0.533741	0.540386	0.537846	0.535013	0.527680	0.596720	0.568588	0.603578	0.487617	0.454281	0.628517	0.535770	0.578748	0.494144	0.563669	0.501859	0.520811	0.598306	0.554720	0.533168	0.562882	0.495938	0.555389	0.542202	0.598493	0.547393	0.562909	0.523687	0.573315	0.587842	0.554158	0.544730	0.501659	0.565636	0.563553	0.611194	0.576892	0.534450	0.601223	0.546160	0.517659	0.526303	0.549699	0.518400	0.573345	0.504245	0.482525	0.567750	0.528154	0.625473	0.570437	0.537203	0.545101	0.592275	0.456291	0.520590	0.483187	0.540796	0.542620	0.483753	0.566873	0.569987	0.484224	0.533820	0.571303	0.596262	0.590464	0.554972	0.544778	0.563796	0.575797	0.501643	0.558088	0.519797	0.556476	0.604435	0.547384	0.557103	0.599735	0.499599	0.586377	0.547752	0.516679	0.557847	0.581052	0.573743	0.614539	0.507180	0.630289	0.584126	0.458851	0.597261	0.531241	0.621459	0.559263	0.562920	0.542638	0.616910	
0.40:0.544595	0.524241	0.545183	0.549701	0.434891	0.484781	0.489460	0.469538	0.563193	0.416185	0.516686	0.492838	0.490162	0.536684	0.447129	0.548170	0.503784	0.522009	0.543272	0.513973	0.470237	0.437651	0.437252	0.490196	0.468398	0.536382	0.567683	0.527123	0.532666	0.496156	0.487876	0.581529	0.528262	0.551453	0.493325	0.565424	0.466303	0.535388	0.565637	0.450806	0.504178	0.493037	0.461508	0.437157	0.517644	0.531447	0.513872	0.495628	0.544112	0.522769	0.425301	0.452144	0.570230	0.538228	0.502024	0.434260	0.588969	0.505034	0.488570	0.528302	0.549875	0.498547	0.511645	0.530414	0.522288	0.443957	0.507353	0.576438	0.513679	0.472067	0.587854	0.497098	0.551609	0.549866	0.566987	0.512524	0.428347	0.477476	0.476814	0.452491	0.487130	0.535047	0.544774	0.521990	0.513820	0.456826	0.431451	0.571066	0.523732	0.478840	0.522655	0.476316	0.457436	0.525901	0.559940	0.537909	0.475466	0.434503	0.535774	0.459430	
0.45:0.351919	0.469930	0.445989	0.399604	0.456384	0.470440	0.391131	0.366920	0.400491	0.346815	0.374779	0.481135	0.401550	0.342557	0.382166	0.464437	0.477293	0.419246	0.346654	0.388692	0.424007	0.340910	0.456895	0.392876	0.422871	0.459321	0.363051	0.439526	0.419198	0.399465	0.426210	0.371697	0.495066	0.421431	0.433996	0.430221	0.494265	0.486603	0.400612	0.387719	0.437393	0.368969	0.468643	0.389967	0.414180	0.468441	0.402390	0.352222	0.456233	0.349006	0.446901	0.392639	0.487871	0.473680	0.430811	0.367424	0.443954	0.448988	0.350081	0.367665	0.455141	0.370812	0.424074	0.372343	0.413214	0.462570	0.389423	0.424054	0.415933	0.423453	0.397686	0.427606	0.432710	0.374614	0.383069	0.432318	0.418163	0.445802	0.376581	0.422220	0.337635	0.366769	0.377540	0.432178	0.422131	0.437750	0.445117	0.427890	0.371428	0.421128	0.457318	0.475610	0.446795	0.382604	0.462734	0.365430	0.403510	0.476096	0.399290	0.390447	
0.50:0.401406	0.384402	0.354480	0.295463	0.287391	0.381467	0.352147	0.361009	0.315468	0.377635	0.338039	0.360815	0.390975	0.304780	0.419482	0.379123	0.307616	0.386456	0.343661	0.333755	0.322643	0.313751	0.324391	0.336734	0.326363	0.347233	0.335859	0.344624	0.301040	0.429380	0.341263	0.331489	0.415566	0.327098	0.455367	0.367992	0.332091	0.309320	0.362878	0.322587	0.332653	0.410906	0.368969	0.427923	0.349839	0.384863	0.409940	0.409134	0.419589	0.368645	0.312691	0.349674	0.411827	0.324776	0.366859	0.272624	0.313104	0.351017	0.369254	0.391390	0.382917	0.409115	0.411301	0.382048	0.359097	0.374055	0.359604	0.394046	0.304658	0.352644	0.321440	0.332196	0.441051	0.276909	0.383253	0.348193	0.361077	0.397009	0.344445	0.327398	0.320417	0.373498	0.379968	0.355824	0.362516	0.415251	0.374037	0.360206	0.382024	0.320702	0.358680	0.417187	0.330348	0.417529	0.308882	0.343369	0.311071	0.381843	0.415609	0.415716	
