0.10:0.916299	0.924238	0.934042	0.938992	0.916823	0.908638	0.929588	0.918727	0.910621	0.920317	
0.15:0.900249	0.918929	0.907807	0.918721	0.909650	0.892515	0.890882	0.901344	0.907193	0.906704	
0.20:0.860729	0.860531	0.859803	0.855133	0.853597	0.863420	0.852911	0.874230	0.873023	0.862443	
0.25:0.802506	0.793763	0.771801	0.803246	0.782524	0.780242	0.797211	0.796908	0.789772	0.778426	
0.30:0.678659	0.707233	0.684134	0.696998	0.693674	0.704102	0.693618	0.687603	0.676742	0.679443	
0.35:0.608291	0.622054	0.609962	0.611821	0.636091	0.622991	0.622076	0.631379	0.615705	0.623321	
0.40:0.584309	0.583764	0.597167	0.598717	0.578462	0.577190	0.577000	0.593471	0.592986	0.582234	
0.45:0.546107	0.559223	0.553724	0.555584	0.553741	0.547372	0.552562	0.555783	0.547438	0.560539	
0.50:0.513119	0.534159	0.530622	0.516709	0.506656	0.529869	0.507783	0.528934	0.510153	0.523267	
0.55:0.522540	0.504883	0.514961	0.514030	0.509572	0.518606	0.507052	0.512511	0.492483	0.508220	
