0.10:0.920456	0.919926	0.925717	0.907268	0.923785	0.915858	0.923705	0.921276	0.925765	0.932432	
0.15:0.910294	0.886304	0.906426	0.900974	0.909232	0.895572	0.892806	0.879718	0.916551	0.911068	
0.20:0.864228	0.871829	0.873294	0.854780	0.865689	0.859849	0.857480	0.850224	0.872156	0.877126	
0.25:0.822940	0.804676	0.805630	0.809566	0.796725	0.815957	0.804486	0.791192	0.807701	0.811019	
0.30:0.781105	0.775408	0.788134	0.777633	0.776505	0.770692	0.773731	0.761240	0.781255	0.786089	
0.35:0.667645	0.667109	0.682081	0.671142	0.667019	0.664206	0.661391	0.678929	0.677837	0.684091	
0.40:0.575400	0.575861	0.576532	0.579493	0.593889	0.579971	0.573471	0.591586	0.593319	0.582677	
0.45:0.499431	0.491855	0.497006	0.506842	0.507181	0.510648	0.498759	0.504931	0.508173	0.500316	
0.50:0.354642	0.348376	0.341502	0.351429	0.349482	0.353424	0.344414	0.344611	0.346320	0.349540	
0.55:0.240476	0.238826	0.228227	0.246596	0.252632	0.253190	0.244698	0.227861	0.230565	0.246313	
