0.10:0.912342	0.917034	0.921072	0.921459	0.919624	0.918474	0.905154	0.920714	0.927672	0.915444	
0.15:0.889096	0.885557	0.889431	0.896327	0.896780	0.883124	0.902882	0.888069	0.894231	0.901144	
0.20:0.871089	0.873850	0.876606	0.845876	0.846630	0.852711	0.877750	0.844544	0.845614	0.863633	
0.25:0.826167	0.817459	0.809106	0.818020	0.808364	0.822994	0.822373	0.817224	0.802203	0.816308	
0.30:0.736759	0.730993	0.729798	0.731439	0.739067	0.739616	0.734696	0.725320	0.726364	0.746182	
0.35:0.669133	0.651898	0.658527	0.638062	0.660842	0.654776	0.657470	0.673022	0.655301	0.673208	
0.40:0.569955	0.573160	0.596091	0.588290	0.584172	0.563637	0.562829	0.576384	0.578160	0.592557	
0.45:0.469665	0.488969	0.475994	0.474647	0.457343	0.476916	0.452185	0.468811	0.467530	0.480376	
0.50:0.405680	0.403787	0.394305	0.398782	0.389442	0.398766	0.409249	0.405033	0.398652	0.386040	
0.55:0.265369	0.270444	0.278431	0.277288	0.273195	0.259654	0.265121	0.271459	0.267202	0.279327	
