0.10:0.962836	0.976278	0.957203	0.954412	0.977613	0.983881	0.977167	0.975286	0.959715	0.965957	
0.15:0.942490	0.942483	0.964421	0.964669	0.958590	0.956502	0.961932	0.939941	0.957895	0.947093	
0.20:0.947819	0.933393	0.933028	0.928278	0.939855	0.940011	0.952908	0.923673	0.935428	0.945682	
0.25:0.885092	0.885987	0.888653	0.884713	0.889712	0.895935	0.891734	0.877781	0.880630	0.886290	
0.30:0.814250	0.814522	0.817635	0.804227	0.811761	0.801564	0.799735	0.827756	0.812078	0.812434	
0.35:0.732647	0.736053	0.742580	0.746248	0.733952	0.737283	0.727910	0.748233	0.755407	0.752318	
0.40:0.690616	0.692086	0.671770	0.683632	0.673350	0.697179	0.679187	0.681939	0.706941	0.690505	
0.45:0.647791	0.642481	0.657965	0.658734	0.640644	0.652788	0.652711	0.659556	0.661908	0.657811	
0.50:0.414370	0.418034	0.417624	0.429596	0.436455	0.430217	0.428155	0.413612	0.429014	0.425637	
0.55:0.328700	0.353455	0.322813	0.354723	0.357550	0.346994	0.328655	0.339418	0.331979	0.354382	
