0.10:0.974626	0.962891	0.959348	0.966638	0.967131	0.971482	0.952145	0.978648	0.950938	0.954996	
0.15:0.947276	0.942585	0.945536	0.924728	0.940387	0.936069	0.935353	0.926917	0.946925	0.927497	
0.20:0.917465	0.909775	0.906079	0.916749	0.911974	0.904396	0.916066	0.909630	0.915767	0.924367	
0.25:0.851791	0.839237	0.847054	0.850576	0.855345	0.857545	0.859661	0.831634	0.836040	0.849067	
0.30:0.771247	0.791593	0.766141	0.774601	0.774266	0.777692	0.775002	0.771733	0.773524	0.784650	
0.35:0.724776	0.726895	0.707901	0.726582	0.729899	0.711711	0.723367	0.723275	0.716562	0.717286	
0.40:0.650144	0.661677	0.662113	0.643315	0.658941	0.657058	0.644934	0.669404	0.651835	0.664854	
0.45:0.607021	0.636271	0.628373	0.616402	0.626059	0.627456	0.611738	0.630481	0.614108	0.613978	
0.50:0.600723	0.592263	0.593613	0.578492	0.593522	0.582712	0.601050	0.582242	0.596221	0.579155	
0.55:0.563545	0.570266	0.568950	0.576279	0.584885	0.559231	0.554734	0.574293	0.570263	0.575960	
