0.10:0.953258	0.932695	0.948623	0.956670	0.952352	0.941103	0.949904	0.953542	0.957629	0.955375	
0.15:0.957011	0.939828	0.948763	0.955327	0.951132	0.936937	0.944174	0.965986	0.936345	0.962168	
0.20:0.944943	0.937609	0.926675	0.943863	0.921873	0.923716	0.934042	0.925068	0.935941	0.941312	
0.25:0.883101	0.883087	0.887242	0.903460	0.893838	0.895549	0.903747	0.899448	0.896503	0.885987	
0.30:0.804627	0.819003	0.809978	0.815584	0.808893	0.810453	0.801098	0.815285	0.813789	0.819668	
0.35:0.737059	0.751792	0.752347	0.738915	0.753538	0.745566	0.728532	0.747307	0.745720	0.739721	
0.40:0.705017	0.716929	0.708065	0.705749	0.704301	0.707706	0.705577	0.695440	0.698152	0.695436	
0.45:0.674633	0.656798	0.659007	0.670378	0.675944	0.667803	0.681040	0.665892	0.652823	0.661792	
0.50:0.564076	0.574497	0.567437	0.564097	0.568825	0.568850	0.573619	0.582184	0.578977	0.565341	
0.55:0.557747	0.536946	0.544800	0.549763	0.541991	0.536774	0.558547	0.538970	0.534942	0.541399	
