0.10:0.986121	0.991172	0.979875	0.977350	0.974296	0.974916	0.987290	0.976146	0.993424	0.987783	
0.15:0.954245	0.948210	0.978976	0.963600	0.955005	0.970103	0.972749	0.969703	0.967700	0.954407	
0.20:0.927537	0.943521	0.948508	0.938901	0.943042	0.922656	0.946407	0.940740	0.934033	0.942433	
0.25:0.901102	0.912783	0.898878	0.907500	0.898296	0.915320	0.913714	0.897413	0.905708	0.903765	
0.30:0.858207	0.856941	0.846650	0.843870	0.847578	0.860363	0.859561	0.847918	0.851218	0.850601	
0.35:0.778819	0.794271	0.777109	0.796749	0.787263	0.790183	0.789682	0.775459	0.789735	0.786722	
0.40:0.719914	0.699854	0.706618	0.705484	0.711462	0.711793	0.712512	0.703993	0.703309	0.721419	
0.45:0.664263	0.640567	0.653031	0.656939	0.637581	0.637519	0.647155	0.630635	0.639104	0.638081	
0.50:0.613753	0.602710	0.596454	0.594652	0.612213	0.586446	0.601887	0.588330	0.593825	0.609928	
0.55:0.535311	0.511590	0.516211	0.530374	0.525772	0.505168	0.510550	0.523757	0.514401	0.509122	
