0.10:0.966574	0.935582	0.944094	0.936428	0.945673	0.970441	0.946379	0.968782	0.969893	0.948575	
0.15:0.907134	0.931634	0.926130	0.920220	0.926068	0.925857	0.922582	0.920008	0.920033	0.906451	
0.20:0.889258	0.896687	0.898461	0.892410	0.900387	0.905528	0.904811	0.886160	0.895397	0.884922	
0.25:0.816494	0.833493	0.840085	0.820557	0.832244	0.842781	0.824248	0.840048	0.830039	0.846649	
0.30:0.758960	0.774946	0.767882	0.758046	0.766439	0.758948	0.772381	0.758843	0.765458	0.761463	
0.35:0.695598	0.695252	0.703514	0.676103	0.693242	0.693332	0.685987	0.694503	0.682170	0.692138	
0.40:0.622531	0.649685	0.645114	0.644205	0.647349	0.620711	0.611244	0.636342	0.628350	0.639705	
0.45:0.605309	0.599621	0.590994	0.604844	0.606811	0.594092	0.610363	0.601914	0.593742	0.609260	
0.50:0.567826	0.578453	0.581006	0.550568	0.566400	0.562394	0.568718	0.575159	0.567385	0.564255	
0.55:0.547764	0.539789	0.554858	0.564255	0.541250	0.554304	0.547741	0.551862	0.541920	0.556032	
