0.10:0.941298	0.935906	0.921508	0.922813	0.935212	0.936043	0.921995	0.943659	0.930273	0.913306	
0.15:0.920340	0.925864	0.925612	0.915573	0.928984	0.918308	0.914397	0.916918	0.910468	0.919099	
0.20:0.880598	0.881761	0.879731	0.891992	0.890991	0.889025	0.889834	0.882537	0.908286	0.893760	
0.25:0.903241	0.896172	0.877570	0.896594	0.895866	0.886711	0.906448	0.890816	0.885553	0.892613	
0.30:0.760229	0.776705	0.769648	0.755208	0.759893	0.752123	0.766888	0.760212	0.762806	0.767526	
0.35:0.690094	0.690712	0.693688	0.686773	0.696566	0.705113	0.693149	0.684764	0.695768	0.677489	
0.40:0.561922	0.571405	0.584892	0.589315	0.591954	0.581017	0.592366	0.580141	0.589897	0.582579	
0.45:0.446629	0.445131	0.443993	0.442138	0.467785	0.454441	0.457178	0.462319	0.460527	0.461765	
0.50:0.312585	0.321300	0.332678	0.328515	0.337296	0.316252	0.342189	0.324210	0.322697	0.322212	
0.55:0.285925	0.291312	0.289007	0.275724	0.291390	0.292507	0.303006	0.279039	0.280937	0.282106	
