0.10:0.936964	0.925581	0.931266	0.941676	0.947900	0.926505	0.927160	0.924384	0.940532	0.947506	
0.15:0.928354	0.901836	0.914322	0.921690	0.913410	0.926917	0.913019	0.925928	0.902231	0.910260	
0.20:0.876351	0.880218	0.894314	0.895124	0.901647	0.886826	0.882446	0.907196	0.892232	0.901258	
0.25:0.842980	0.841072	0.831884	0.817621	0.847137	0.813087	0.845159	0.832440	0.821060	0.821654	
0.30:0.774978	0.775154	0.768137	0.745728	0.754541	0.762275	0.760091	0.750469	0.779208	0.765858	
0.35:0.679831	0.677447	0.690822	0.692893	0.689865	0.672962	0.692184	0.694863	0.678135	0.700605	
0.40:0.635964	0.614026	0.632570	0.620945	0.625075	0.626933	0.637813	0.642496	0.626010	0.640448	
0.45:0.559078	0.573402	0.561547	0.565410	0.578204	0.586358	0.571152	0.573786	0.565371	0.578058	
0.50:0.512496	0.496771	0.499841	0.499816	0.507369	0.481155	0.497899	0.491532	0.497189	0.492839	
0.55:0.475606	0.480311	0.453528	0.455147	0.458264	0.478447	0.461849	0.486325	0.473357	0.472848	
