0.10:0.937790	0.927556	0.932897	0.929096	0.938447	0.931452	0.932387	0.929492	0.919153	0.939882	
0.15:0.913269	0.925473	0.927965	0.914299	0.918359	0.929528	0.922257	0.909426	0.918985	0.908110	
0.20:0.905686	0.893480	0.888460	0.910540	0.897369	0.906913	0.903380	0.899749	0.883778	0.878141	
0.25:0.838860	0.841168	0.831810	0.841294	0.838476	0.826044	0.821119	0.847395	0.837903	0.827003	
0.30:0.766708	0.769206	0.774612	0.782491	0.770354	0.767052	0.759660	0.753331	0.750827	0.768684	
0.35:0.684419	0.682949	0.681270	0.681481	0.694830	0.688442	0.694984	0.679378	0.674902	0.695628	
0.40:0.650904	0.639610	0.630163	0.639159	0.617297	0.636415	0.625791	0.634708	0.616645	0.633186	
0.45:0.593927	0.590515	0.590626	0.597187	0.600326	0.597078	0.592878	0.594811	0.601583	0.592375	
0.50:0.407759	0.395714	0.381614	0.393121	0.406085	0.393847	0.383653	0.392217	0.406766	0.397657	
0.55:0.290683	0.289690	0.295180	0.270298	0.301690	0.277268	0.283639	0.276027	0.302055	0.286382	
